Tamanho,Densidade,Representacao,Algoritmo,Tempo(ns)
10,0.2,Lista,Dijkstra,2878305
10,0.2,Matriz,Dijkstra,765360
10,0.2,Lista,Bellman-Ford,756750
10,0.2,Matriz,Bellman-Ford,589506
10,0.5,Lista,Dijkstra,90752
10,0.5,Matriz,Dijkstra,53141
10,0.5,Lista,Bellman-Ford,157934
10,0.5,Matriz,Bellman-Ford,48812
10,0.8,Lista,Dijkstra,75042
10,0.8,Matriz,Dijkstra,57692
10,0.8,Lista,Bellman-Ford,261717
10,0.8,Matriz,Bellman-Ford,71522
20,0.2,Lista,Dijkstra,106433
20,0.2,Matriz,Dijkstra,104873
20,0.2,Lista,Bellman-Ford,450561
20,0.2,Matriz,Bellman-Ford,185055
20,0.5,Lista,Dijkstra,140263
20,0.5,Matriz,Dijkstra,100343
20,0.5,Lista,Bellman-Ford,776130
20,0.5,Matriz,Bellman-Ford,233996
20,0.8,Lista,Dijkstra,141144
20,0.8,Matriz,Dijkstra,115553
20,0.8,Lista,Bellman-Ford,1109509
20,0.8,Matriz,Bellman-Ford,265787
50,0.2,Lista,Dijkstra,165064
50,0.2,Matriz,Dijkstra,166335
50,0.2,Lista,Bellman-Ford,4943689
50,0.2,Matriz,Bellman-Ford,2502726
50,0.5,Lista,Dijkstra,312828
50,0.5,Matriz,Dijkstra,176185
50,0.5,Lista,Bellman-Ford,2733941
50,0.5,Matriz,Bellman-Ford,320329
50,0.8,Lista,Dijkstra,482342
50,0.8,Matriz,Dijkstra,184185
50,0.8,Lista,Bellman-Ford,2209188
50,0.8,Matriz,Bellman-Ford,3441761
100,0.2,Lista,Dijkstra,435871
100,0.2,Matriz,Dijkstra,256486
100,0.2,Lista,Bellman-Ford,2171147
100,0.2,Matriz,Bellman-Ford,19228174
100,0.5,Lista,Dijkstra,895973
100,0.5,Matriz,Dijkstra,304828
100,0.5,Lista,Bellman-Ford,10744482
100,0.5,Matriz,Bellman-Ford,3014269
100,0.8,Lista,Dijkstra,1399847
100,0.8,Matriz,Dijkstra,322878
100,0.8,Lista,Bellman-Ford,6447779
100,0.8,Matriz,Bellman-Ford,1734846
